PAIR,BULL_SAMPLES,BEAR_SAMPLES,BULL_AVG,BEAR_AVG,BULL_MEDIAN,BEAR_MEDIAN,BULL_MIN,BEAR_MIN,BULL_MAX,BEAR_MAX,BULL_STD,BEAR_STD,BULL_CV,BEAR_CV,OVERALL_SCORE
XAUUSDT,10,13,0.22732349244922548,0.12079558674682946,0.17712140120107073,0.079977220110681,0.054581243316268326,0.00950315553496474,0.4834975369458155,0.39342630708931675,0.13783392815456966,0.11040041158937969,0.6063338490427072,0.9139440815893665,0.7601389653160369
UNIUSDT,17,19,0.6797374600223788,0.9826467688859024,0.4446914952751533,0.9982886480319494,0.027048958615090338,0,1.9007391763463586,2.4800456100342,0.5423380211855245,0.7282127196341891,0.7978639593699446,0.7410727259194232,0.7694683426446839
COLLECTUSDT,17,20,0.8595878346368833,0.7626591912795553,0.7276995305164268,0.6040279860573933,0.14207909069381378,0.11916110581504885,2.576687116564406,2.1492951236422466,0.6857804691606874,0.5669839320327805,0.7978015061722953,0.7434302746440653,0.7706158904081803
GWEIUSDT,10,29,3.348114013003767,2.389371666373765,3.033383851140859,2.0134228187919576,0.578034682080928,0.17921146953404288,10.144927536231883,7.034220532319395,2.760194931059001,1.725375017584566,0.8244029087237345,0.7221040752538448,0.7732534919887897
ENAUSDT,20,19,0.5023663602729724,0.6037371135886146,0.4841464997872692,0.5470737913486002,0.036809815950905975,0,1.0630407911001232,2.5339134886101813,0.3069986871624126,0.5696450822343608,0.6111051842635278,0.9435316620646184,0.7773184231640731
CHZUSDT,15,21,0.40223178709464236,0.48377179033491574,0.35906642728905463,0.3603603603603665,0,0,0.871080139372807,1.5643802647412746,0.2656504366047924,0.434430399951951,0.6604411812492748,0.8980068880229547,0.7792240346361148
PENGUUSDT,17,20,0.45509212002077676,0.637246871776145,0.37072856221791717,0.3383811822340629,0,0.03288932741325876,1.1806566391719253,1.8107970891859781,0.30267422025533225,0.5694979724752325,0.6650834126539347,0.8936850029375873,0.779384207795761
AVAXUSDT,18,19,0.46789418516896497,0.38747022367177625,0.31423659231877776,0.2678172890938818,0.030878493129531875,0,1.272420665338024,1.1636693365573652,0.3653455134911043,0.3017508924230805,0.7808293521732301,0.7787718229380431,0.7798005875556366
GOOGLUSDT,13,18,0.1780883026930954,0.16341268832542982,0.16667562772192177,0.10736535959143084,0.013973115725331728,0,0.3974982626824202,0.536301406780577,0.1258151381418238,0.14137827055290383,0.7064761482883274,0.865160912544041,0.7858185304161842
DOTUSDT,21,18,0.6874547808300473,0.5129575828804726,0.6984866123399307,0.410455257212207,0,0,1.6336056009334903,1.9323671497584558,0.4514108137715349,0.4712397231755489,0.6566407367572483,0.9186719114850388,0.7876563241211436
REUSDT,17,22,1.0732073592698144,0.8958806956030309,0.6730229949523363,0.6309691262929666,0.22633744855968013,0.05288207297725488,2.3769386378961572,3.421052631578946,0.6685655572230407,0.8567854292356375,0.6229602801810056,0.9563610795954502,0.789660679888228
VELVETUSDT,19,21,1.2142243486867117,2.3169885169295434,1.1026753434562533,1.6696130426242513,0.08865248226951347,0,4.26690876078075,7.967398536260821,0.9318629066534247,1.885216791823481,0.767455295770765,0.8136496051010891,0.790552450435927
EDGEUSDT,17,20,1.5134731590498638,1.9199317056632108,1.1927480916030544,1.6574679036398148,0,0.09564801530368519,4.761904761904766,6.120276742948367,1.3721975975639433,1.2957187148461151,0.906654729460408,0.674877502686237,0.7907661160733226
PYTHUSDT,22,16,0.7390285056214921,0.95742817637631,0.6404295759403212,0.4966689760222075,0.12195121951220425,0,1.3956438993444722,3.7703513281919405,0.3877100271868821,1.0229286750687197,0.5246212077581962,1.0684129632995731,0.7965170855288847
RIFUSDT,21,18,1.3141496192207316,1.1136726450486811,0.6362507759155814,1.141548197103167,0.03738876841396433,0,4.70985372126668,2.2649969078540417,1.2625665837852218,0.7080979835817649,0.9607479736849921,0.6358223726962534,0.7982851731906228
